"r";"nsd_id";"election_year";"start";"end";"cabinet_name";"last_name";"first_name";"party";"election_date";"cause";"reshuffle";"prime_minister";"gender";"education";"duration";"birth";"pre45_exp";"CabinetType";"structure";"From";"To";"cabinet_duration";"CabinetPartiesNor";"year_start";"year_end";"post";"resigcalls";"resigcalls_cum";"rc_cum_lag";"rc_opposition";"rc_paper";"rc_organization";"rc_party";"rc_expert";"rc_citizens";"rc_voteofconf";"parl_start";"parlTen_cum";"youthCen";"youthLoc";"minister_exp_cum_y_lag";"parlTen_dum";"start_year";"age";"age_cen";"pm_name";"education_dum";"dur_start";"dur_end";"leave";"event2";"jurisdiction";"rc_paper_dum";"rc_party_dum";"rc_organization_dum";"rc_opposition_dum";"timeint"
"155";239;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Gjærevoll";"Olav";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1916;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Sosialminister";1;1;0;1;0;0;0;0;0;0;"1961-10-01";0;0;0;0,558521560574949;0;1963;47;-2,16490166414523;"Gerhardsen";"Higher";0;747;0;0;"Social";0;0;0;1;2,88419254153021
"156";239;1969;1971-03-17;1972-05-08;"Bratteli I";"Gjærevoll";"Olav";"DNA";"1969-09-08";"Not dismissed";"0";0;"Male";"Higher education";418;1916;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1971;1972;"Prisminister";0;1;1;0;0;0;0;0;0;0;"1969-10-01";0;0;0;2,60369609856263;0;1971;55;5,83509833585477;"Bratteli";"Higher";0;418;0;0;"Finance";0;0;0;0;3,23330914918197
"157";239;1969;1972-05-08;1972-10-17;"Bratteli I";"Gjærevoll";"Olav";"DNA";"1969-09-08";"Not dismissed";"1";0;"Male";"Higher education";162;1916;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1972;1972;"Miljøvernminister";0;1;1;0;0;0;0;0;0;0;"1969-10-01";0;0;0;3,74811772758385;0;1972;56;6,83509833585477;"Bratteli";"Higher";418;580;0;0;"Environment";0;0;0;0;3,27744171986883
"158";244;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Granli";"Leif";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1909;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Landbruksminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";6608;0;0;0;1;1963;54;4,83509833585477;"Gerhardsen";"Higher";0;747;0;0;"Agriculture";0;0;0;0;2,88419254153021
"159";252;1985;1986-05-09;1988-06-13;"Brundtland II";"Grøndahl";"Kirsti Kolle";"DNA";"1985-09-09";"Not dismissed";"0";0;"Female";"Higher education";766;1943;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1986;1988;"Kirke- og undervisningsminister";1;1;0;0;0;1;0;0;0;0;"1985-10-01";3143;0;0;0;1;1986;43;-6,16490166414523;"Brundtland";"Higher";0;766;0;0;"Education";0;0;1;0;3,70153010232154
"160";252;1985;1988-06-13;1989-10-15;"Brundtland II";"Grøndahl";"Kirsti Kolle";"DNA";"1985-09-09";"Not dismissed";"1";0;"Female";"Higher education";489;1943;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1988;1989;"Bistandsminister";0;1;1;0;0;0;0;0;0;0;"1985-10-01";3143;0;0;2,09719370294319;1;1988;45;-4,16490166414523;"Brundtland";"Higher";766;1255;0;0;"Foreign affairs";0;0;0;0;3,75200527354607
"161";255;1961;1963-08-28;1963-09-24;"Lyng I";"Grønn-Hagen";"Karen";"Sp";"1961-09-11";"Not dismissed";"0";0;"Female";"Secondary school";27;1903;0;"Minority";"Coalition";1963-08-28;1963-09-24;27;"H+Sp+KrF+V";1963;1963;"Familie- og forbruksminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";1433;0;0;0;1;1963;60;10,8350983358548;"Lyng";"Lower";0;27;0;0;"Social";0;0;0;0;2,87989805640249
"162";260;1945;1945-11-05;1950-01-10;"Gerhardsen II";"Gundersen";"Oscar Christian";"DNA";"1945-10-08";"Not dismissed";"0";0;"Male";"Higher education";1527;1908;0;"Majority";"Single-party";1945-11-05;1950-01-10;1527;"Ap";1945;1950;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1945-10-01";0;0;0;0;0;1945;37;-12,1649016641452;"Gerhardsen";"Higher";0;1527;0;0;"Justice";0;0;0;0;-5,90058205063081
"163";260;1949;1950-01-11;1951-11-18;"Gerhardsen III";"Gundersen";"Oscar Christian";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"Higher education";676;1908;0;"Majority";"Single-party";1950-01-11;1951-11-18;676;"Ap";1950;1951;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";0;0;0;4,18069815195072;0;1950;42;-7,16490166414523;"Gerhardsen";"Higher";0;676;0;0;"Justice";0;0;0;0;1,43178715529825
"164";260;1949;1951-11-19;1952-12-20;"Torp I";"Gundersen";"Oscar Christian";"DNA";"1949-10-10";"Unknown";"0";0;"Male";"Higher education";397;1908;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1951;1952;"Justisminister";1;1;0;0;1;0;0;0;0;0;"1949-10-01";0;0;0;6,03148528405202;0;1951;43;-6,16490166414523;"Torp";"Higher";0;397;0;1;"Justice";1;0;0;0;1,79835414918264
"165";260;1961;1962-01-13;1963-08-27;"Gerhardsen VI";"Gundersen";"Oscar Christian";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";591;1908;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1962;1963;"Handelsminister";0;1;1;0;0;0;0;0;0;0;"1961-10-01";0;0;0;7,11841204654346;0;1962;54;4,83509833585477;"Gerhardsen";"Higher";104;695;0;0;"Trade";0;0;0;0;2,78449564978161
"166";260;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Gundersen";"Oscar Christian";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1908;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Justisminister";0;1;1;0;0;0;0;0;0;0;"1961-10-01";0;0;0;8,73648186173854;0;1963;55;5,83509833585477;"Gerhardsen";"Higher";0;747;0;0;"Justice";0;0;0;0;2,88419254153021
"167";276;1985;1988-06-13;1989-04-28;"Brundtland II";"Halvorsen";"Einfrid Daghild";"DNA";"1985-09-09";"Unknown";"0";0;"Female";"Primary school";319;1937;0;"Minority";"Single-party";1986-05-09;1989-10-15;1255;"Ap";1988;1989;"Forbruker- og administrasjonsminister";0;0;0;0;0;0;0;0;0;0;"1985-10-01";0;0;0;0;0;1988;51;1,83509833585477;"Brundtland";"Lower";766;1085;0;1;"Administration";0;0;0;0;3,75200527354607
"168";278;1973;1973-10-16;1974-09-06;"Bratteli II";"Halvorsen";"Tor";"DNA";"1973-10-10";"Not dismissed";"0";0;"Male";"Higher education";325;1930;0;"Minority";"Single-party";1973-10-16;1976-01-14;820;"Ap";1973;1974;"Miljøvernminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";0;0;0;0;0;1973;43;-6,16490166414523;"Bratteli";"Higher";0;325;0;0;"Environment";0;0;0;0;3,33034495495376
"169";278;1973;1974-09-06;1976-01-14;"Bratteli II";"Halvorsen";"Tor";"DNA";"1973-10-10";"Not dismissed";"1";0;"Male";"Higher education";495;1930;0;"Minority";"Single-party";1973-10-16;1976-01-14;820;"Ap";1974;1976;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1973-10-01";0;0;0;0,889801505817933;0;1974;44;-5,16490166414523;"Bratteli";"Higher";325;820;0;0;"Social";0;0;0;0;3,36168641420573
"170";283;1949;1953-11-02;1954-01-10;"Torp I";"Handal";"Nils Kristoffer";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"Higher education";69;1906;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1953;1954;"Industriminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";0;0;0;0;0;1953;47;-2,16490166414523;"Torp";"Higher";714;783;0;0;"Industry";0;0;0;0;2,07875684463152
"171";283;1953;1954-01-11;1955-01-21;"Torp II";"Handal";"Nils Kristoffer";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";375;1906;0;"Majority";"Single-party";1954-01-11;1955-01-21;375;"Ap";1954;1955;"Industriminister";2;2;0;1;1;0;0;0;0;0;"1953-10-01";0;0;0;0,188911704312115;0;1954;48;-1,16490166414523;"Torp";"Higher";0;375;0;0;"Industry";1;0;0;1;2,10244661575392
"172";283;1953;1955-01-22;1958-01-10;"Gerhardsen IV";"Handal";"Nils Kristoffer";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";1084;1906;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1958;"Forsvarsminister";2;4;2;0;1;0;1;0;0;0;"1953-10-01";0;0;0;1,21560574948665;0;1955;49;-0,164901664145233;"Gerhardsen";"Higher";0;1084;0;0;"Defence";1;1;0;0;2,22089832411994
"173";283;1957;1958-01-11;1961-02-18;"Gerhardsen V";"Handal";"Nils Kristoffer";"DNA";"1957-10-07";"Unknown";"0";0;"Male";"Higher education";1134;1906;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1958;1961;"Forsvarsminister";2;6;4;1;0;0;1;0;0;0;"1957-10-01";0;0;0;4,18343600273785;0;1958;52;2,83509833585477;"Gerhardsen";"Higher";0;1134;0;1;"Defence";0;1;0;1;2,50030201838505
"174";296;1953;1955-08-01;1958-01-10;"Gerhardsen IV";"Harlem";"Gudmund";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";893;1917;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1958;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";0;0;0;0;0;1955;38;-11,1649016641452;"Gerhardsen";"Higher";191;1084;0;0;"Social";0;0;0;0;2,27609072131765
"175";296;1957;1958-01-11;1961-09-30;"Gerhardsen V";"Harlem";"Gudmund";"DNA";"1957-10-07";"Not dismissed";"0";0;"Male";"Higher education";1358;1917;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1958;1961;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1957-10-01";0;0;0;2,44490075290897;0;1958;41;-8,16490166414523;"Gerhardsen";"Higher";0;1358;0;0;"Social";0;0;0;0;2,50030201838505
"176";296;1961;1961-10-01;1963-08-27;"Gerhardsen VI";"Harlem";"Gudmund";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";695;1917;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1961;1963;"Forsvarsminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;6,16290212183436;0;1961;44;-5,16490166414523;"Gerhardsen";"Higher";0;695;0;0;"Defence";0;0;0;0;2,76675379921515
"177";296;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Harlem";"Gudmund";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1917;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Forsvarsminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;8,06570841889117;0;1963;46;-3,16490166414523;"Gerhardsen";"Higher";0;747;0;0;"Defence";0;0;0;0;2,88419254153021
"178";299;1945;1945-11-05;1950-01-10;"Gerhardsen II";"Hauge";"Jens Christian";"DNA";"1945-10-08";"Not dismissed";"0";0;"Male";"Higher education";1527;1915;0;"Majority";"Single-party";1945-11-05;1950-01-10;1527;"Ap";1945;1950;"Forsvarsminister";11;11;0;5;5;1;0;0;0;0;"1945-10-01";0;0;0;0;0;1945;30;-19,1649016641452;"Gerhardsen";"Higher";0;1527;0;0;"Defence";1;0;1;1;-5,90058205063081
"179";299;1949;1950-01-11;1951-11-18;"Gerhardsen III";"Hauge";"Jens Christian";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"Higher education";676;1915;0;"Majority";"Single-party";1950-01-11;1951-11-18;676;"Ap";1950;1951;"Forsvarsminister";5;16;11;1;4;0;0;0;0;0;"1949-10-01";0;0;0;4,18069815195072;0;1950;35;-14,1649016641452;"Gerhardsen";"Higher";0;676;0;0;"Defence";1;0;0;1;1,43178715529825
"180";299;1949;1951-11-19;1952-01-05;"Torp I";"Hauge";"Jens Christian";"DNA";"1949-10-10";"Unknown";"0";0;"Male";"Higher education";47;1915;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1951;1952;"Forsvarsminister";0;16;16;0;0;0;0;0;0;0;"1949-10-01";0;0;0;6,03148528405202;0;1951;36;-13,1649016641452;"Torp";"Higher";0;47;0;1;"Defence";0;0;0;0;1,79835414918264
"181";299;1953;1955-01-22;1955-11-01;"Gerhardsen IV";"Hauge";"Jens Christian";"DNA";"1953-10-12";"Vote of non-confidence";"0";0;"Male";"Higher education";283;1915;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1955;"Justisminister";0;16;16;0;0;0;0;0;0;0;"1953-10-01";0;0;0;6,16016427104723;0;1955;40;-9,16490166414523;"Gerhardsen";"Higher";0;283;0;1;"Justice";0;0;0;0;2,22089832411994
"182";300;1969;1972-10-18;1973-03-05;"Korvald I";"Haugeland";"Trygve";"Sp";"1969-09-08";"Unknown";"0";0;"Male";"Higher education";138;1914;0;"Minority";"Coalition";1972-10-18;1973-10-15;362;"KrF+Sp+V";1972;1973;"Miljøvernminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";0;0;0;0;0;1972;58;8,83509833585477;"Korvald";"Higher";0;138;0;1;"Environment";0;0;0;0;3,29413694044242
"183";303;1953;1955-11-01;1958-01-10;"Gerhardsen IV";"Haugland";"Jens";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";801;1910;0;"Majority";"Single-party";1955-01-22;1958-01-10;1084;"Ap";1955;1958;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";659;0;0;0;1;1955;45;-4,16490166414523;"Gerhardsen";"Higher";283;1084;0;0;"Justice";0;0;0;0;2,30162638580564
"184";303;1957;1958-01-11;1961-09-30;"Gerhardsen V";"Haugland";"Jens";"DNA";"1957-10-07";"Not dismissed";"0";0;"Male";"Higher education";1358;1910;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1958;1961;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1957-10-01";761;0;0;2,19301848049281;1;1958;48;-1,16490166414523;"Gerhardsen";"Higher";0;1358;0;0;"Justice";0;0;0;0;2,50030201838505
"185";303;1961;1961-10-01;1963-08-27;"Gerhardsen VI";"Haugland";"Jens";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";695;1910;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1961;1963;"Justisminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";789;0;0;5,91101984941821;1;1961;51;1,83509833585477;"Gerhardsen";"Higher";0;695;0;0;"Justice";0;0;0;0;2,76675379921515
"186";303;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Haugland";"Jens";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1910;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";789;0;0;7,81382614647502;1;1963;53;3,83509833585477;"Gerhardsen";"Higher";0;747;0;0;"Regional";0;0;0;0;2,88419254153021
"187";306;1981;1983-06-08;1985-09-30;"Willoch II";"Haugstvedt";"Asbjørn";"KrF";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";845;1926;0;"Majority";"Coalition";1983-06-08;1985-09-30;845;"H+KrF+Sp";1983;1985;"Handelsminister";0;0;0;0;0;0;0;0;0;0;"1981-10-01";4999;0;0;0;1;1983;57;7,83509833585477;"Willoch";"Higher";0;845;0;0;"Trade";0;0;0;0;3,62675644813121
"188";306;1985;1985-10-01;1986-05-08;"Willoch III";"Haugstvedt";"Asbjørn";"KrF";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";219;1926;0;"Minority";"Coalition";1985-10-01;1986-05-08;219;"H+KrF+Sp";1985;1986;"Handelsminister";0;0;0;0;0;0;0;0;0;0;"1985-10-01";4999;0;0;2,31348391512663;1;1985;59;9,83509833585477;"Willoch";"Higher";0;219;0;0;"Trade";0;0;0;0;3,68654956886893
"189";307;1977;1978-01-11;1979-10-08;"Nordli II";"Haukvik";"Olav";"DNA";"1977-10-12";"Unkown";"0";0;"Male";"Higher education";635;1928;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1978;1979;"Industriminister";2;2;0;1;1;0;0;0;0;0;"1977-10-01";0;0;0;0;0;1978;50;0,835098335854767;"Nordli";"Higher";102;737;0;1;"Industry";1;0;0;1;3,471536976908
"190";317;1969;1970-06-05;1971-03-16;"Borten II";"Hellesen";"Gunnar";"H";"1969-09-08";"Not dismissed";"0";0;"Male";"Higher education";284;1913;0;"Majority";"Coalition";1969-10-01;1971-03-16;531;"H+Sp+KrF+V";1970;1971;"Forsvarsminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";0;0;0;0;0;1970;57;7,83509833585477;"Borten";"Higher";247;531;0;0;"Defence";0;0;0;0;3,20206174589
"191";320;1981;1981-10-14;1983-06-07;"Willoch I";"Heløe";"Leif Arne";"H";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";601;1932;0;"Minority";"Single-party";1981-10-14;1983-06-07;601;"H";1981;1983;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1981-10-01";0;0;0;0;0;1981;49;-0,164901664145233;"Willoch";"Higher";0;601;0;0;"Social";0;0;0;0;3,58192058213912
"192";320;1981;1983-06-08;1985-09-30;"Willoch II";"Heløe";"Leif Arne";"H";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";845;1932;0;"Majority";"Coalition";1983-06-08;1985-09-30;845;"H+KrF+Sp";1983;1985;"Sosialminister";2;2;0;0;0;1;1;0;0;0;"1981-10-01";0;0;0;1,64544832306639;0;1983;51;1,83509833585477;"Willoch";"Higher";0;845;0;0;"Social";0;1;1;0;3,62675644813121
"193";320;1985;1985-10-01;1986-05-08;"Willoch III";"Heløe";"Leif Arne";"H";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";219;1932;0;"Minority";"Coalition";1985-10-01;1986-05-08;219;"H+KrF+Sp";1985;1986;"Sosialminister";0;2;2;0;0;0;0;0;0;0;"1985-10-01";0;0;0;3,95893223819302;0;1985;53;3,83509833585477;"Willoch";"Higher";0;219;0;0;"Social";0;0;0;0;3,68654956886893
"194";327;1961;1963-09-25;1965-10-11;"Gerhardsen VII";"Himle";"Eirik";"DNA";"1961-09-11";"Not dismissed";"0";0;"Male";"Higher education";747;1924;0;"Minority";"Single-party";1963-09-25;1965-10-11;747;"Ap";1963;1965;"Handelsminister";0;0;0;0;0;0;0;0;0;0;"1961-10-01";0;0;0;0;0;1963;39;-10,1649016641452;"Gerhardsen";"Higher";0;747;0;0;"Trade";0;0;0;0;2,88419254153021
"195";332;1969;1971-03-17;1972-01-24;"Bratteli I";"Hoem";"Knut";"DNA";"1969-09-08";"Unknown";"0";0;"Male";"Higher education";313;1924;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1971;1972;"Fiskeriminister";1;1;0;0;0;0;1;0;0;0;"1969-10-01";0;0;0;0;0;1971;47;-2,16490166414523;"Bratteli";"Higher";0;313;0;1;"Sea and fish";0;1;0;0;3,23330914918197
"196";337;1957;1959-04-09;1961-09-30;"Gerhardsen V";"Holler";"Kjell Torbjørn";"DNA";"1957-10-07";"Not dismissed";"0";0;"Male";"Higher education";905;1925;0;"Majority";"Single-party";1958-01-11;1961-09-30;1358;"Ap";1959;1961;"Industriminister";0;0;0;0;0;0;0;0;0;0;"1957-10-01";0;0;0;0;0;1959;34;-15,1649016641452;"Gerhardsen";"Higher";453;1358;0;0;"Industry";0;0;0;0;2,59722442698524
"197";337;1961;1961-10-01;1963-07-04;"Gerhardsen VI";"Holler";"Kjell Torbjørn";"DNA";"1961-09-11";"Unknown";"0";0;"Male";"Higher education";641;1925;0;"Minority";"Single-party";1961-10-01;1963-08-27;695;"Ap";1961;1963;"Industriminister";2;2;0;1;1;0;0;0;0;0;"1961-10-01";0;0;0;2,47775496235455;0;1961;36;-13,1649016641452;"Gerhardsen";"Higher";0;641;0;1;"Industry";1;0;0;1;2,76675379921515
"198";342;1945;1945-11-05;1948-06-30;"Gerhardsen II";"Holt";"Peder Ragnar";"DNA";"1945-10-08";"Unknown";"0";0;"Male";"Higher education";968;1899;0;"Majority";"Single-party";1945-11-05;1950-01-10;1527;"Ap";1945;1948;"Minister for gjenoppbygning av Finnmark";0;0;0;0;0;0;0;0;0;0;"1945-10-01";0;0;0;0;0;1945;46;-3,16490166414523;"Gerhardsen";"Higher";0;968;0;1;"Regional";0;0;0;0;-5,90058205063081
"199";342;1949;1951-11-19;1954-01-10;"Torp I";"Holt";"Peder Ragnar";"DNA";"1949-10-10";"Not dismissed";"0";0;"Male";"Higher education";783;1899;0;"Majority";"Single-party";1951-11-19;1954-01-10;783;"Ap";1951;1954;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";0;0;0;2,65023956194387;0;1951;52;2,83509833585477;"Torp";"Higher";0;783;0;0;"Sea and fish";0;0;0;0;1,79835414918264
"200";342;1953;1954-01-11;1955-01-21;"Torp II";"Holt";"Peder Ragnar";"DNA";"1953-10-12";"Not dismissed";"0";0;"Male";"Higher education";375;1899;0;"Majority";"Single-party";1954-01-11;1955-01-21;375;"Ap";1954;1955;"Fiskeriminister";0;0;0;0;0;0;0;0;0;0;"1953-10-01";0;0;0;4,79397672826831;0;1954;55;5,83509833585477;"Torp";"Higher";0;375;0;0;"Sea and fish";0;0;0;0;2,10244661575392
"201";355;1981;1981-10-14;1983-06-07;"Willoch I";"Hveding";"Vidkunn";"H";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";601;1921;0;"Minority";"Single-party";1981-10-14;1983-06-07;601;"H";1981;1983;"Olje- og energiminister";0;0;0;0;0;0;0;0;0;0;"1981-10-01";0;0;0;0;0;1981;60;10,8350983358548;"Willoch";"Higher";0;601;0;0;"Industry";0;0;0;0;3,58192058213912
"202";358;1969;1971-03-17;1972-10-17;"Bratteli I";"Højdahl";"Odd";"DNA";"1969-09-08";"Not dismissed";"0";0;"Male";"Higher education";580;1921;0;"Minority";"Single-party";1971-03-17;1972-10-17;580;"Ap";1971;1972;"Sosialminister";0;0;0;0;0;0;0;0;0;0;"1969-10-01";0;0;0;0;0;1971;50;0,835098335854767;"Bratteli";"Higher";0;580;0;0;"Social";0;0;0;0;3,23330914918197
"203";360;1945;1948-01-06;1950-01-10;"Gerhardsen II";"Hønsvald";"Nils";"DNA";"1945-10-08";"Not dismissed";"0";0;"Male";"Higher education";735;1899;0;"Majority";"Single-party";1945-11-05;1950-01-10;1527;"Ap";1948;1950;"Forsyning- og gjenreisningsminister";0;0;0;0;0;0;0;0;0;0;"1945-10-01";770;0;1;0;1;1948;49;-0,164901664145233;"Gerhardsen";"Higher";792;1527;0;0;"Administration";0;0;0;0;0,775241171004039
"204";360;1949;1950-01-11;1950-09-14;"Gerhardsen III";"Hønsvald";"Nils";"DNA";"1949-10-10";"Unknown";"0";0;"Male";"Higher education";246;1899;0;"Majority";"Single-party";1950-01-11;1951-11-18;676;"Ap";1950;1950;"Forsyning- og gjenreisningsminister";0;0;0;0;0;0;0;0;0;0;"1949-10-01";1985;0;1;2,01232032854209;1;1950;51;1,83509833585477;"Gerhardsen";"Higher";0;246;0;1;"Administration";0;0;0;0;1,43178715529825
"205";362;1997;1997-10-17;1999-03-16;"Bondevik I";"Haarstad";"Ragnhild Queseth";"Sp";"1997-09-15";"Unknown";"0";0;"Female";"Secondary school";515;1939;0;"Minority";"Coalition";1997-10-17;2000-03-16;881;"KrF+Sp+V";1997;1999;"Kommunalminister";0;0;0;0;0;0;0;0;0;0;"1997-10-01";0;0;0;0;0;1997;58;8,83509833585477;"Bondevik";"Lower";0;515;0;1;"Regional";0;0;0;0;3,95029555163302
"206";372;1981;1983-06-08;1985-10-04;"Willoch II";"Isaksen";"Finn Trond";"Sp";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";849;1924;0;"Majority";"Coalition";1983-06-08;1985-09-30;845;"H+KrF+Sp";1983;1985;"Landbruksminister";0;0;0;0;0;0;0;0;0;0;"1981-10-01";0;0;0;0;0;1983;59;9,83509833585477;"Willoch";"Higher";0;849;0;0;"Agriculture";0;0;0;0;3,62675644813121
"207";382;1981;1983-06-08;1985-09-30;"Willoch II";"Jakobsen";"Johan Jakob";"Sp";"1981-10-14";"Not dismissed";"0";0;"Male";"Higher education";845;1937;0;"Majority";"Coalition";1983-06-08;1985-09-30;845;"H+KrF+Sp";1983;1985;"Samferdselsminister";2;2;0;0;1;0;1;0;0;0;"1981-10-01";3538;1;1;0;1;1983;46;-3,16490166414523;"Willoch";"Higher";0;845;0;0;"Transport";1;1;0;0;3,62675644813121
"208";382;1985;1985-10-01;1986-05-08;"Willoch III";"Jakobsen";"Johan Jakob";"Sp";"1985-09-09";"Not dismissed";"0";0;"Male";"Higher education";219;1937;0;"Minority";"Coalition";1985-10-01;1986-05-08;219;"H+KrF+Sp";1985;1986;"Samferdselsminister";0;2;2;0;0;0;0;0;0;0;"1985-10-01";4779;1;1;2,31348391512663;1;1985;48;-1,16490166414523;"Willoch";"Higher";0;219;0;0;"Transport";0;0;0;0;3,68654956886893
"209";382;1989;1989-10-16;1990-11-02;"Syse I";"Jakobsen";"Johan Jakob";"Sp";"1989-09-11";"Not dismissed";"0";0;"Male";"Higher education";382;1937;0;"Minority";"Coalition";1989-10-16;1990-11-02;382;"H+KrF+Sp";1989;1990;"Kommunalminister";1;3;2;0;0;0;1;0;0;0;"1989-10-01";5857;1;1;2,91307323750856;1;1989;52;2,83509833585477;"Syse";"Higher";0;382;0;0;"Regional";0;1;0;0;3,783006680756
"210";391;1977;1980-10-03;1981-02-03;"Nordli II";"Johanson";"Arvid Helmer";"DNA";"1977-10-12";"Not dismissed";"0";0;"Male";"Higher education";123;1929;0;"Minority";"Single-party";1977-10-01;1981-02-03;1221;"Ap";1980;1981;"Olje- og energiminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";6943;0;1;0;1;1980;51;1,83509833585477;"Nordli";"Higher";1098;1221;0;0;"Industry";0;0;0;0;3,55286135039919
"211";391;1977;1981-02-04;1981-10-13;"Brundtland I";"Johanson";"Arvid Helmer";"DNA";"1977-10-12";"Not dismissed";"0";0;"Male";"Higher education";251;1929;0;"Minority";"Single-party";1981-02-04;1981-10-13;251;"Ap";1981;1981;"Olje- og energiminister";0;0;0;0;0;0;0;0;0;0;"1977-10-01";6943;0;1;0,336755646817248;1;1981;52;2,83509833585477;"Brundtland";"Higher";0;251;0;0;"Industry";0;0;0;0;3,56253834178789
"212";395;1989;1990-11-03;1993-09-30;"Brundtland III";"Johnsen";"Sigbjørn";"DNA";"1989-09-11";"Not dismissed";"0";0;"Male";"Higher education";1062;1950;0;"Minority";"Single-party";1990-11-03;1993-09-30;1062;"Ap";1990;1993;"Finansminister";2;2;0;1;1;0;0;0;0;0;"1989-10-01";4781;1;1;0;1;1990;40;-9,16490166414523;"Brundtland";"Higher";0;1062;0;0;"Finance";1;0;0;1;3,80658643546751
